Days_Since_Refill,Opening_Stock,Prev_Closing,HSD1_Sold,Total_Sold,Target
1,12000,807.0,1701.0,4605.0,0
2,7395,7395.0,1705.0,4662.0,0
0,2733,2733.0,1312.76,3480.52,1
1,12000,0.0,1312.76,3480.52,0
2,8758,8758.0,1408.0,3958.0,0
0,4800,4800.0,1486.0,3803.0,1
1,12000,997.0,1777.0,4441.0,0
2,7559,7559.0,1732.0,4690.0,0
0,2869,2869.0,1917.0,5092.0,1
1,12000,0.0,1419.0,3892.0,0
2,8108,8108.0,1466.0,3847.0,0
0,4261,4261.0,1312.76,3480.52,1
1,12000,1266.0,1504.0,3957.0,0
2,8043,8043.0,1443.0,3616.0,0
0,4427,4427.0,1735.0,4270.0,1
1,12000,157.0,1443.0,3832.0,0
2,8168,8168.0,1384.0,3485.0,0
0,4683,4683.0,1628.0,4007.0,1
1,12000,676.0,1449.0,3600.0,0
2,8400,8400.0,1358.0,3499.0,0
0,4901,4901.0,1699.0,4349.0,1
1,12000,552.0,1877.0,5117.0,0
2,6883,6883.0,1663.0,4497.0,0
0,2386,2386.0,1392.0,3480.52,1
1,12000,0.0,1325.0,3480.52,0
2,8685,8685.0,1332.0,3480.52,0
0,5256,5256.0,1439.0,4003.0,1
1,12000,1253.0,1552.0,4215.0,0
2,7785,7785.0,1964.0,5264.0,0
0,2521,2521.0,1732.0,4244.0,1
1,12000,0.0,1471.0,3600.0,0
2,8400,8400.0,1490.0,4026.0,0
0,4374,4374.0,1532.0,3998.0,1
1,12000,376.0,1312.76,3598.0,0
2,8402,8402.0,1683.0,4454.0,0
0,3948,3948.0,1712.0,4269.0,1
1,12000,0.0,1715.0,4210.0,0
2,7790,7790.0,1312.76,3480.52,0
0,4519,4519.0,1530.0,3858.0,1
1,12000,661.0,1312.76,3480.52,0
2,8822,8822.0,1312.76,3480.52,0
0,5522,5522.0,1577.0,4330.0,1
1,12000,1192.0,1785.0,4865.0,0
2,7135,7135.0,1743.0,4637.0,0
0,2498,2498.0,1312.76,3480.52,1
1,12000,0.0,1312.76,3480.52,0
2,8645,8645.0,1424.0,3776.0,0
0,4869,4869.0,1605.0,4047.0,1
1,12000,822.0,1312.76,3496.0,0
2,8504,8504.0,1714.0,4632.0,0
0,3872,3872.0,1787.0,4462.0,1
1,12000,0.0,1472.0,4020.0,0
2,7980,7980.0,1481.0,4023.0,0
0,3957,3957.0,1312.76,3480.52,1
1,12000,568.0,1464.0,4147.0,0
2,7853,7853.0,1370.0,3828.0,0
0,4025,4025.0,1662.0,4457.0,1
1,12000,0.0,1976.0,4880.0,0
2,7120,7120.0,1313.0,3690.0,0
0,3430,3430.0,1641.0,4214.0,1
1,12000,0.0,1445.0,3686.0,0
2,8314,8314.0,1312.76,3480.52,0
0,5131,5131.0,1352.0,3682.0,1
1,12000,1449.0,1630.0,4653.0,0
2,7347,7347.0,1820.0,4836.0,0
0,2511,2511.0,1312.76,3480.52,1
1,12000,0.0,1447.0,3898.0,0
2,8102,8102.0,1512.0,3814.0,0
0,4288,4288.0,1575.0,4057.0,1
1,12000,231.0,1849.0,5237.0,0
0,6763,6763.0,1987.0,5232.0,1
1,12000,1531.0,2160.0,5324.0,0
2,6676,6676.0,1646.0,4038.0,0
0,2638,2638.0,1695.0,4258.0,1
1,12000,0.0,1378.0,3780.0,0
2,8220,8220.0,1581.0,3989.0,0
0,4231,4231.0,1659.0,4376.0,1
1,12000,0.0,1981.0,5572.0,0
0,6428,6428.0,2432.0,5980.0,1
1,12000,448.0,1540.0,4229.0,0
2,7771,7771.0,1545.0,4218.0,0
0,3553,3553.0,1671.0,4126.0,1
1,12000,0.0,1689.0,4147.0,0
2,7853,7853.0,2000.0,4927.0,0
0,2926,2926.0,2123.0,5376.0,1
1,12000,0.0,1837.0,4767.0,0
2,7233,7233.0,1673.0,4119.0,0
0,3114,3114.0,1749.0,4601.0,1
1,12000,0.0,1650.0,4343.0,0
2,7657,7657.0,1569.0,3999.0,0
0,3658,3658.0,2032.0,5393.0,1
1,12000,0.0,1959.0,5295.0,0
0,6705,6705.0,1852.0,5090.0,1
1,12000,1615.0,1430.0,3966.0,0
2,8034,8034.0,1809.0,4972.0,0
0,3062,3062.0,1672.0,4182.0,1
1,12000,0.0,1587.0,4194.0,0
2,7806,7806.0,1697.0,4809.0,0
0,2997,2997.0,2101.0,5722.0,1
1,12000,0.0,2068.0,5333.0,0
0,6667,6667.0,1825.0,4752.0,1
1,12000,1915.0,1938.0,5009.0,0
0,6991,6991.0,1806.0,5046.0,1
1,12000,1945.0,1738.0,4727.0,0
2,7273,7273.0,2085.0,5232.0,0
0,2041,2041.0,2293.0,6095.0,1
1,12000,0.0,1891.0,4866.0,0
2,7134,7134.0,1706.0,4572.0,0
0,2562,2562.0,1924.0,5006.0,1
1,12000,0.0,1772.0,4845.0,0
2,7155,7155.0,1958.0,4886.0,0
0,2269,2269.0,1996.0,5679.0,1
1,12000,0.0,2336.0,5823.0,0
0,6177,6177.0,2148.0,6025.0,1
1,12000,152.0,1896.0,5011.0,0
2,6989,6989.0,1784.0,4586.0,0
0,2403,2403.0,1728.0,4397.0,1
1,12000,0.0,1791.0,4833.0,0
0,7167,7167.0,1944.0,5497.0,1
1,12000,1670.0,2119.0,5699.0,0
0,6301,6301.0,2567.0,6320.0,1
1,12000,0.0,1643.0,4158.0,0
2,7842,7842.0,1894.0,5186.0,0
0,2656,2656.0,1839.0,4800.0,1
1,12000,0.0,2061.0,5385.0,0
0,6615,6615.0,1979.0,5656.0,1
1,12000,959.0,2620.0,6431.0,0
0,5569,5569.0,2476.0,6192.0,1
1,12000,0.0,1784.0,4905.0,0
2,7095,7095.0,1880.0,4952.0,0
0,2143,2143.0,1711.0,4652.0,1
1,12000,0.0,1683.0,4741.0,0
0,7259,7259.0,2014.0,5452.0,1
1,12000,1807.0,2452.0,6723.0,0
0,5277,5277.0,2061.0,5712.0,1
1,12000,0.0,1844.0,4561.0,0
2,7439,7439.0,2075.0,5232.0,0
0,2207,2207.0,1737.0,4881.0,1
1,12000,0.0,1859.0,4665.0,0
2,7335,7335.0,1920.0,5090.0,0
0,2245,2245.0,2108.0,6017.0,1
1,12000,0.0,2276.0,5603.0,0
2,6397,6397.0,1706.0,4279.0,0
0,2118,2118.0,2073.0,5294.0,1
1,12000,0.0,1784.0,4729.0,0
0,7271,7271.0,2083.0,5431.0,1
1,12000,1840.0,2160.0,5519.0,0
0,6481,6481.0,2363.0,6069.0,1
1,12000,412.0,2247.0,5874.0,0
0,6126,6126.0,1897.0,4777.0,1
1,12000,1349.0,1882.0,4594.0,0
2,7406,7406.0,2037.0,5254.0,0
0,2152,2152.0,2136.0,5382.0,1
1,12000,0.0,1909.0,5198.0,0
0,6802,6802.0,2653.0,6878.0,1
1,12000,0.0,2367.0,5985.0,0
0,6015,6015.0,1656.0,4377.0,1
1,12000,1638.0,1871.0,4770.0,0
2,7230,7230.0,1903.0,4802.0,0
0,2428,2428.0,1530.0,4290.0,1
1,12000,0.0,1748.0,4708.0,0
2,7292,7292.0,1949.0,5212.0,0
0,2080,2080.0,2302.0,5621.0,1
1,12000,0.0,1492.0,3919.0,0
2,8081,8081.0,1652.0,4537.0,0
0,3544,3544.0,1638.0,4113.0,1
1,12000,0.0,1776.0,4455.0,0
2,7545,7545.0,1687.0,4249.0,0
0,3296,3296.0,2127.0,5844.0,1
1,12000,0.0,1769.0,4840.0,0
2,7160,7160.0,1522.0,3895.0,0
0,3265,3265.0,1429.0,4078.0,1
1,12000,0.0,1989.0,4898.0,0
2,7102,7102.0,1520.0,3850.0,0
0,3252,3252.0,1712.0,4866.0,1
1,12000,0.0,2002.0,5146.0,0
0,6854,6854.0,1940.0,4861.0,1
1,12000,1993.0,1368.0,3878.0,0
2,8122,8122.0,1580.0,3981.0,0
0,4141,4141.0,1439.0,3937.0,1
1,12000,204.0,1409.0,3480.52,0
2,8559,8559.0,1975.0,5029.0,0
0,3530,3530.0,1929.0,5455.0,1
1,12000,0.0,2013.0,5076.0,0
2,6924,6924.0,1520.0,3877.0,0
0,3047,3047.0,1574.0,3859.0,1
1,12000,0.0,1456.0,4031.0,0
2,7969,7969.0,1562.0,3896.0,0
0,4073,4073.0,1818.0,4975.0,1
1,12000,0.0,2254.0,5542.0,0
0,6458,6458.0,2017.0,5155.0,1
1,12000,1303.0,1357.0,3631.0,0
2,8369,8369.0,1569.0,4257.0,0
0,4112,4112.0,1422.0,3986.0,1
1,12000,126.0,1666.0,4610.0,0
2,7390,7390.0,2003.0,5309.0,0
0,2081,2081.0,1805.0,4967.0,1
1,12000,0.0,2041.0,5487.0,0
2,6513,6513.0,1498.0,4123.0,0
0,2390,2390.0,1608.0,4086.0,1
1,12000,0.0,1710.0,4604.0,0
2,7396,7396.0,1849.0,4975.0,0
0,2421,2421.0,1947.0,4979.0,1
1,12000,0.0,1739.0,4861.0,0
0,7139,7139.0,1977.0,5515.0,1
1,12000,1624.0,1752.0,4473.0,0
2,7527,7527.0,1653.0,4374.0,0
0,3153,3153.0,1481.0,4117.0,1
1,12000,0.0,1549.0,4297.0,0
2,7703,7703.0,1806.0,5152.0,0
0,2551,2551.0,2166.0,5786.0,1
1,12000,0.0,2194.0,5805.0,0
0,6195,6195.0,1552.0,4217.0,1
1,12000,1978.0,1459.0,4137.0,0
2,7863,7863.0,1474.0,3873.0,0
0,3990,3990.0,1901.0,4726.0,1
1,12000,0.0,1895.0,4834.0,0
2,7166,7166.0,1785.0,4870.0,0
0,2296,2296.0,1831.0,4736.0,1
1,12000,0.0,1802.0,4400.0,0
2,7600,7600.0,1554.0,4102.0,0
0,3498,3498.0,1354.0,3813.0,1
1,12000,0.0,1820.0,4881.0,0
2,7119,7119.0,1612.0,4129.0,0
0,2990,2990.0,1968.0,4942.0,1
1,12000,0.0,2036.0,5797.0,0
2,6203,6203.0,1578.0,4074.0,0
0,2129,2129.0,1654.0,4268.0,1
1,12000,0.0,1456.0,3785.0,0
2,8215,8215.0,1397.0,3988.0,0
0,4227,4227.0,1624.0,4362.0,1
1,12000,0.0,1892.0,5110.0,0
0,6890,6890.0,2061.0,5277.0,1
1,12000,1613.0,1488.0,3784.0,0
2,8216,8216.0,1780.0,4456.0,0
0,3760,3760.0,1685.0,4298.0,1
1,12000,0.0,1882.0,4652.0,0
2,7348,7348.0,1734.0,4488.0,0
0,2860,2860.0,2141.0,5474.0,1
1,12000,0.0,2007.0,5428.0,0
2,6572,6572.0,1561.0,3928.0,0
0,2644,2644.0,1637.0,4057.0,1
1,12000,0.0,1634.0,4314.0,0
2,7686,7686.0,1694.0,4468.0,0
0,3218,3218.0,1791.0,4472.0,1
1,12000,0.0,2018.0,5597.0,0
0,6403,6403.0,2327.0,5953.0,1
1,12000,450.0,1402.0,3687.0,0
2,8313,8313.0,1516.0,3900.0,0
0,4413,4413.0,1637.0,4430.0,1
1,12000,0.0,1930.0,4820.0,0
2,7180,7180.0,1942.0,4996.0,0
0,2184,2184.0,2237.0,5698.0,1
1,12000,0.0,2494.0,6583.0,0
0,5417,5417.0,1572.0,4432.0,1
1,12000,985.0,1545.0,4277.0,0
2,7723,7723.0,1555.0,4179.0,0
0,3544,3544.0,1920.0,4951.0,1
1,12000,0.0,1987.0,4879.0,0
0,7121,7121.0,2238.0,5699.0,1
1,12000,1422.0,2349.0,6159.0,0
0,5841,5841.0,1521.0,4216.0,1
1,12000,1625.0,1535.0,4182.0,0
2,7818,7818.0,1821.0,4609.0,0
0,3209,3209.0,1697.0,4764.0,1
1,12000,0.0,1997.0,5385.0,0
0,6615,6615.0,1946.0,5473.0,1
1,12000,1142.0,2131.0,6028.0,0
0,5972,5972.0,1612.0,4183.0,1
1,12000,1789.0,1864.0,4883.0,0
2,7117,7117.0,1690.0,4609.0,0
0,2508,2508.0,1786.0,4491.0,1
1,12000,0.0,1896.0,4879.0,0
0,7121,7121.0,2017.0,5747.0,1
1,12000,1374.0,2155.0,5528.0,0
0,6472,6472.0,1584.0,4522.0,1
1,12000,1950.0,1831.0,4866.0,0
2,7134,7134.0,1849.0,4573.0,0
0,2561,2561.0,1750.0,4271.0,1
1,12000,0.0,1946.0,4891.0,0
0,7109,7109.0,2417.0,6459.0,1
1,12000,650.0,2038.0,5553.0,0
2,6447,6447.0,1495.0,4077.0,0
0,2370,2370.0,1613.0,4338.0,1
1,12000,0.0,1468.0,4161.0,0
2,7839,7839.0,1849.0,4716.0,0
0,3123,3123.0,2117.0,5945.0,1
1,12000,0.0,2270.0,5706.0,0
0,6294,6294.0,2035.0,5023.0,1
1,12000,1271.0,1720.0,4832.0,0
2,7168,7168.0,1739.0,4518.0,0
0,2650,2650.0,1702.0,4771.0,1
1,12000,0.0,1888.0,4658.0,0
0,7342,7342.0,2220.0,5428.0,1
1,12000,1914.0,2009.0,5709.0,0
0,6291,6291.0,2089.0,5265.0,1
1,12000,1026.0,1702.0,4695.0,0
2,7305,7305.0,1667.0,4671.0,0
0,2634,2634.0,1581.0,4490.0,1
1,12000,0.0,1686.0,4240.0,0
2,7760,7760.0,1918.0,5388.0,0
0,2372,2372.0,2273.0,6220.0,1
1,12000,0.0,2050.0,5397.0,0
2,6603,6603.0,1753.0,4285.0,0
0,2318,2318.0,1817.0,4859.0,1
1,12000,0.0,1957.0,4957.0,0
2,7043,7043.0,1888.0,4871.0,0
0,2172,2172.0,2176.0,5402.0,1
1,12000,0.0,2336.0,5985.0,0
0,6015,6015.0,2522.0,6313.0,1
1,12000,0.0,1580.0,4099.0,0
2,7901,7901.0,1836.0,5094.0,0
0,2807,2807.0,1689.0,4695.0,1
1,12000,0.0,1735.0,4933.0,0
0,7067,7067.0,2174.0,5568.0,1
1,12000,1499.0,2161.0,5912.0,0
0,6088,6088.0,2196.0,5800.0,1
1,12000,288.0,1488.0,3712.0,0
2,8288,8288.0,1979.0,4965.0,0
0,3323,3323.0,1821.0,4687.0,1
1,12000,0.0,1821.0,4569.0,0
2,7431,7431.0,1891.0,5074.0,0
0,2357,2357.0,2251.0,5902.0,1
1,12000,0.0,2390.0,6121.0,0
0,5879,5879.0,1701.0,4257.0,1
1,12000,1622.0,1811.0,4967.0,0
2,7033,7033.0,1671.0,4631.0,0
0,2402,2402.0,1578.0,4178.0,1
1,12000,0.0,2309.0,5808.0,0
0,6192,6192.0,2415.0,5955.0,1
1,12000,237.0,2331.0,5708.0,0
0,6292,6292.0,1683.0,4403.0,1
1,12000,1889.0,1600.0,4392.0,0
2,7608,7608.0,1637.0,4660.0,0
0,2948,2948.0,1661.0,4572.0,1
1,12000,0.0,2063.0,5646.0,0
0,6354,6354.0,2148.0,6077.0,1
1,12000,277.0,2086.0,5369.0,0
2,6631,6631.0,1571.0,3860.0,0
0,2771,2771.0,1598.0,4293.0,1
1,12000,0.0,1648.0,4414.0,0
2,7586,7586.0,1871.0,4900.0,0
0,2686,2686.0,1714.0,4233.0,1
1,12000,0.0,1826.0,4459.0,0
2,7541,7541.0,1589.0,4520.0,0
0,3021,3021.0,1400.0,3795.0,1
1,12000,0.0,1333.0,3750.0,0
2,8250,8250.0,1583.0,3903.0,0
0,4347,4347.0,1365.0,3847.0,1
1,12000,500.0,1566.0,4327.0,0
2,7673,7673.0,1585.0,4366.0,0
0,3307,3307.0,1570.0,4485.0,1
1,12000,0.0,1423.0,3874.0,0
2,8126,8126.0,1399.0,3620.0,0
0,4506,4506.0,1456.0,3741.0,1
1,12000,765.0,1485.0,3945.0,0
2,8055,8055.0,1723.0,4661.0,0
0,3394,3394.0,2017.0,4931.0,1
1,12000,0.0,1673.0,4368.0,0
2,7632,7632.0,1312.76,3480.52,0
0,4473,4473.0,1312.76,3480.52,1
1,12000,1192.0,1312.76,3480.52,0
2,8700,8700.0,1558.0,4201.0,0
0,4499,4499.0,1518.0,3921.0,1
1,12000,578.0,1938.0,5433.0,0
0,6567,6567.0,1979.0,5142.0,1
1,12000,1425.0,1312.76,3480.52,0
2,8829,8829.0,1434.0,3869.0,0
0,4960,4960.0,1541.0,3975.0,1
1,12000,985.0,1442.0,3976.0,0
2,8024,8024.0,1466.0,4058.0,0
0,3966,3966.0,1828.0,4706.0,1
1,12000,0.0,1736.0,4374.0,0
2,7626,7626.0,1501.0,4185.0,0
0,3441,3441.0,1478.0,4134.0,1
1,12000,0.0,1376.0,3531.0,0
2,8469,8469.0,1546.0,4120.0,0
0,4349,4349.0,1800.0,4829.0,1
1,12000,0.0,1833.0,4929.0,0
2,7071,7071.0,1459.0,3907.0,0
0,3164,3164.0,1312.76,3480.52,1
1,12000,277.0,1378.0,3693.0,0
2,8307,8307.0,1400.0,3485.0,0
0,4822,4822.0,1514.0,3890.0,1
1,12000,932.0,1562.0,3846.0,0
2,8154,8154.0,1986.0,5378.0,0
0,2776,2776.0,1828.0,4837.0,1
1,12000,0.0,1312.76,3480.52,0
2,8574,8574.0,1605.0,4143.0,0
0,4431,4431.0,1359.0,3788.0,1
1,12000,643.0,1414.0,3574.0,0
2,8426,8426.0,1746.0,4312.0,0
0,4114,4114.0,1964.0,4917.0,1
1,12000,0.0,1648.0,4114.0,0
2,7886,7886.0,1312.76,3533.0,0
0,4353,4353.0,1430.0,3881.0,1
1,12000,472.0,1399.0,3873.0,0
2,8127,8127.0,1617.0,3988.0,0
0,4139,4139.0,1774.0,4487.0,1
1,12000,0.0,1943.0,5266.0,0
0,6734,6734.0,1895.0,5228.0,1
1,12000,1506.0,1635.0,4341.0,0
2,7659,7659.0,1507.0,3695.0,0
0,3964,3964.0,1346.0,3717.0,1
1,12000,247.0,1323.0,3480.52,0
2,8630,8630.0,1699.0,4217.0,0
0,4413,4413.0,1668.0,4656.0,1
1,12000,0.0,1962.0,4927.0,0
2,7073,7073.0,1471.0,4178.0,0
0,2895,2895.0,1418.0,4012.0,1
1,12000,0.0,1488.0,3659.0,0
2,8341,8341.0,1312.76,3480.52,0
0,5044,5044.0,1736.0,4313.0,1
1,12000,731.0,2153.0,5259.0,0
2,6741,6741.0,1596.0,3928.0,0
0,2813,2813.0,1434.0,3769.0,1
1,12000,0.0,1383.0,3934.0,0
2,8066,8066.0,1312.76,3557.0,0
0,4509,4509.0,1767.0,4477.0,1
1,12000,32.0,1523.0,4308.0,0
2,7692,7692.0,2037.0,5418.0,0
0,2274,2274.0,1507.0,4239.0,1
1,12000,0.0,1312.76,3480.52,0
2,8618,8618.0,1598.0,3969.0,0
0,4649,4649.0,1494.0,3758.0,1
1,12000,891.0,1312.76,3480.52,0
2,8873,8873.0,1868.0,4762.0,0
0,4111,4111.0,1734.0,4286.0,1
1,12000,0.0,1600.0,4148.0,0
2,7852,7852.0,1388.0,3772.0,0
0,4080,4080.0,1373.0,3919.0,1
1,12000,161.0,1312.76,3480.52,0
2,8638,8638.0,1412.0,3835.0,0
0,4803,4803.0,1650.0,4673.0,1
1,12000,130.0,1928.0,5279.0,0
0,6721,6721.0,2001.0,5106.0,1
1,12000,1615.0,1588.0,4321.0,0
2,7679,7679.0,1745.0,4270.0,0
0,3409,3409.0,1633.0,4217.0,1
1,12000,0.0,1685.0,4222.0,0
2,7778,7778.0,1794.0,4589.0,0
0,3189,3189.0,2047.0,5363.0,1
1,12000,0.0,2012.0,5396.0,0
2,6604,6604.0,1618.0,4544.0,0
0,2060,2060.0,1616.0,4358.0,1
1,12000,0.0,1616.0,4336.0,0
2,7664,7664.0,1544.0,4266.0,0
0,3398,3398.0,1850.0,4622.0,1
1,12000,0.0,2102.0,5567.0,0
0,6433,6433.0,1976.0,4912.0,1
1,12000,1521.0,1682.0,4298.0,0
2,7702,7702.0,1966.0,4824.0,0
0,2878,2878.0,1632.0,4634.0,1
1,12000,0.0,1780.0,4585.0,0
2,7415,7415.0,1761.0,4343.0,0
0,3072,3072.0,2121.0,5606.0,1
1,12000,0.0,1947.0,4823.0,0
2,7177,7177.0,1567.0,3865.0,0
0,3312,3312.0,1470.0,3874.0,1
1,12000,0.0,1609.0,4286.0,0
2,7714,7714.0,1614.0,4123.0,0
0,3591,3591.0,1688.0,4221.0,1
1,12000,0.0,1618.0,4598.0,0
2,7402,7402.0,2081.0,5289.0,0
0,2113,2113.0,1561.0,4117.0,1
